Red	Green	Blue	Label
2893	2954	4621	red
2904	2967	4626	red
2831	2949	4641	red
2825	2966	4648	red
2979	3106	4763	red
2987	2895	4601	red
2891	3062	4740	red
2884	2944	4630	red
2893	2954	4621	red
2904	2967	4626	red
2831	2949	4641	red
2825	2966	4648	red
2979	3106	4763	red
2987	2895	4601	red
2884	2944	4630	red
2893	2954	4621	red
2904	2967	4626	red
2831	2949	4641	red
2825	2966	4648	red
5425	1402	2748	red
4934	1636	3109	red
4742	1729	3288	red
4601	1864	3458	red
4516	1967	3598	red
4419	2068	3669	red
4305	2156	3793	red
4226	2234	3891	red
4144	2318	3966	red
4110	2371	4059	red
4036	2439	4134	red
3975	2513	4182	red
3934	2577	4262	red
3898	2605	4267	red
3861	2637	4321	red
3792	2700	4400	red
3776	2672	4405	red
3700	2568	4347	red
3646	2796	4543	red
3561	2701	4524	red
3392	2737	4621	red
3319	2740	4544	red
3240	2788	4542	red
3217	2818	4598	red
3209	2888	4596	red
3196	2820	4616	red
3045	2883	4657	red
2992	2920	4634	red
3041	2914	4640	red
3040	2920	4661	red
3015	2944	4654	red
3019	2917	4684	red
3076	2953	4678	red
3048	2978	4708	red
3082	2947	4710	red
3023	2942	4717	red
3103	2992	4707	red
3117	2989	4755	red
3117	2986	4701	red
3089	2983	4702	red
3119	2929	4651	red
3129	2998	4758	red
3126	2998	4763	red
3080	2889	4676	red
3091	3055	4757	red
2987	2978	4731	red
2931	3052	4764	red
2911	3010	4719	red
2795	2974	4705	red
2770	3023	4731	red
2682	3039	4753	red
2748	3040	4775	red
2739	3036	4767	red
2743	3052	4764	red
2752	3036	4780	red
2694	3011	4671	red
2689	3034	4759	red
2683	3073	4780	red
2718	3056	4778	red
2746	3039	4766	red
2655	3050	4780	red
2703	2998	4758	red
2704	3033	4799	red
2670	3072	4750	red
2722	3046	4778	red
2727	3067	4775	red
2672	3039	4786	red
2672	3028	4774	red
2766	3070	4774	red
2979	3041	4700	red
13880	2545	3126	red
13983	2688	3259	red
14051	2831	3388	red
14064	2816	3334	red
14135	2896	3529	red
14173	2878	3500	red
14067	2760	3292	red
14025	2735	3503	red
14028	2703	3571	red
14013	2741	3785	red
13891	2680	3770	red
14021	2679	3798	red
14013	2737	3929	red
14040	2831	3983	red
13980	2774	4074	red
13982	2835	4069	red
13974	2832	4133	red
13980	2821	4093	red
13993	2840	4122	red
13984	2807	4086	red
13979	2817	4109	red
13998	2815	4071	red
13994	2749	4001	red
13991	2818	4096	red
13946	2770	4078	red
13977	2791	4061	red
13946	2799	4070	red
13952	2766	4060	red
13973	2777	4128	red
13938	2747	3943	red
13948	2815	4083	red
13949	2784	4088	red
13935	2718	3988	red
13928	2767	4107	red
13936	2772	4009	red
13954	2780	4106	red
13940	2801	4066	red
13928	2791	4080	red
13906	2760	4068	red
13951	2760	4034	red
13915	2754	3980	red
13930	2735	4069	red
13917	2766	4069	red
13915	2738	4045	red
13920	2743	4074	red
13932	2755	4077	red
13916	2792	4095	red
13932	2745	4028	red
13912	2763	4056	red
13923	2754	4098	red
13900	2752	4028	red
13940	2752	4052	red
13890	2708	3998	red
13922	2739	4015	red
13900	2789	4015	red
13928	2762	4069	red
13896	2771	4074	red
13844	2687	4047	red
13804	2737	4155	red
13851	2783	4212	red
13814	2734	4175	red
13746	2567	4104	red
13654	2615	4265	red
13640	2657	4467	red
13622	2816	4818	red
13668	2856	4910	red
13722	2755	4424	red
13779	2739	4279	red
13736	2664	4236	red
13688	2704	4256	red
13682	2719	4471	red
13646	2944	4914	red
13632	7897	12689	red
5880	7769	12787	red
5778	4743	12892	red
5643	4633	12948	red
5613	4456	12944	red
5591	3349	4812	red
14205	3029	4395	red
14114	2844	4291	red
14100	2881	4187	red
14119	2893	4127	red
14142	2875	4096	red
14128	2874	4095	red
14130	2818	4016	red
14114	2701	3963	red
14138	2840	3944	red
14122	2861	3977	red
14117	2784	3961	red
14140	2796	3904	red
14087	2803	3918	red
14110	2777	3943	red
14131	2818	3931	red
14094	2775	3885	red
14100	2812	3864	red
14134	2819	3922	red
14126	2781	3937	red
14105	2815	3888	red
14133	2779	3876	red
14094	2776	3862	red
14109	2753	3870	red
14112	2795	3827	red
14094	2792	3889	red
14111	2794	3893	red
14115	2782	3858	red
14104	2794	3884	red
14136	2794	3904	red
14136	2806	3876	red
14110	2743	3805	red
14105	2814	3868	red
14132	2775	3845	red
14154	2807	3907	red
14120	2793	3889	red
14117	2808	3737	red
14149	2824	3846	red
14153	2817	3898	red
14119	2777	3880	red
14112	2719	3793	red
14146	2795	3898	red
14118	2821	3931	red
14132	2797	3913	red
14099	2807	3876	red
14106	2751	3824	red
14130	2801	3854	red
14108	2775	3873	red
14114	2822	3834	red
14125	2705	3872	red
14136	2681	3719	red
14129	2802	3856	red
14151	2800	3888	red
14141	2772	3788	red
14112	2817	3852	red
14147	2687	3682	red
14153	2698	3711	red
14162	2752	3835	red
14144	2691	3701	red
14174	2692	3780	red
14153	2680	3742	red
14188	2771	3761	red
14181	2772	3803	red
14175	2674	3830	red
14175	2886	3964	red
14188	2869	3945	red
14185	2868	3896	red
14165	2868	3923	red
14187	2834	3953	red
14185	2814	3915	red
14208	2852	3880	red
14144	2783	3797	red
14183	2834	3901	red
14185	2852	3912	red
14165	2763	3920	red
14143	2799	3883	red
14159	2811	3900	red
14166	2802	3919	red
14138	2805	3842	red
14141	2841	3920	red
14154	2804	3884	red
14140	2806	3878	red
14139	2802	3895	red
14112	2787	3847	red
14105	2814	3884	red
14093	2789	3873	red
14133	2645	3612	red
14120	2794	3789	red
14127	2806	3854	red
14102	2802	3827	red
14105	2808	3844	red
14109	2798	3836	red
14122	2791	3878	red
